location,continent,totaldeathcount
"United States","North America",2254304
Brazil,"South America",1404232
India,Asia,1066868
Russia,Europe,803546
Mexico,"North America",669916
"United Kingdom",Europe,464224
Peru,"South America",443166
Italy,Europe,391610
Germany,Europe,349958
France,Europe,335970
Indonesia,Asia,324066
Iran,Asia,293554
Colombia,"South America",285454
Argentina,"South America",261398
China,Asia,243832
Spain,Europe,243704
Poland,Europe,241100
Ukraine,Europe,219836
"South Africa",Africa,205190
Turkey,Asia,202838
Japan,Asia,149388
Romania,Europe,137338
Philippines,Asia,133728
Chile,"South America",131304
Canada,"North America",108670
Hungary,Europe,98026
Czechia,Europe,86932
Vietnam,Asia,86412
Greece,Europe,77444
Bulgaria,Europe,77342
Malaysia,Asia,74646
Ecuador,"South America",72058
"South Korea",Asia,71868
Thailand,Asia,69198
Belgium,Europe,68678
Pakistan,Asia,61312
Bangladesh,Asia,58960
Tunisia,Africa,58846
Portugal,Europe,56120
Sweden,Europe,53982
Iraq,Asia,50750
Egypt,Africa,49660
Australia,Oceania,48854
Netherlands,Europe,45972
Austria,Europe,45068
Bolivia,"South America",44770
Slovakia,Europe,42434
Guatemala,"North America",40402
Paraguay,"South America",39912
Myanmar,Asia,38988
Kazakhstan,Asia,38144
Croatia,Europe,37374
Serbia,Europe,36114
Georgia,Asia,34264
"Sri Lanka",Asia,33786
"Bosnia and Herzegovina",Europe,32764
Morocco,Africa,32602
Switzerland,Europe,28348
Jordan,Asia,28244
Israel,Asia,25414
Moldova,Europe,24380
Nepal,Asia,24062
Finland,Europe,22846
Honduras,"North America",22228
Lebanon,Asia,21894
Azerbaijan,Asia,20706
"North Macedonia",Europe,19926
Slovenia,Europe,19868
Lithuania,Europe,19564
"Saudi Arabia",Asia,19292
Denmark,Europe,18872
Ireland,Europe,18866
"Costa Rica","North America",18736
Armenia,Asia,17550
Panama,"North America",17342
Cuba,"North America",17060
Afghanistan,Asia,15950
Uruguay,"South America",15320
Ethiopia,Africa,15148
Latvia,Europe,14930
Belarus,Europe,14236
Algeria,Africa,13762
Libya,Africa,12874
"Puerto Rico","North America",11876
Venezuela,"South America",11712
Zimbabwe,Africa,11474
Norway,Europe,11464
Palestine,Asia,11416
Kenya,Africa,11378
Sudan,Africa,10092
Oman,Asia,9256
"Trinidad and Tobago","North America",8780
"Dominican Republic","North America",8768
"El Salvador","North America",8460
Namibia,Africa,8206
Zambia,Africa,8138
"New Zealand",Oceania,7444
Uganda,Africa,7264
