location,population,HighestInfectionCount,PercentagePopulationInfected
Cyprus,896007,681110,76.0200
Brunei,449002,340942,75.9300
"San Marino",33690,25292,75.0700
Austria,8939617,6081287,68.0300
"South Korea",51815808,34571873,66.7200
"Faeroe Islands",53117,34658,65.2500
Slovenia,2119843,1355294,63.9300
Gibraltar,32677,20550,62.8900
Martinique,367512,230354,62.6800
Luxembourg,647601,390615,60.3200
Andorra,79843,48015,60.1400
Jersey,110796,66391,59.9200
Denmark,5882259,3433033,58.3600
"Saint Pierre and Miquelon",5885,3426,58.2200
France,67813000,38997490,57.5100
Iceland,372903,209870,56.2800
Guernsey,63329,35326,55.7800
Portugal,10270857,5641679,54.9300
Liechtenstein,39355,21571,54.8100
Greece,10384972,5607446,54.0000
Latvia,1850654,977701,52.8300
Singapore,5637022,2977715,52.8200
Guadeloupe,395762,203235,51.3500
Israel,9449000,4841558,51.2400
Switzerland,8740471,4449493,50.9100
Niue,1952,993,50.8700
Reunion,974062,494595,50.7800
"Falkland Islands",3801,1923,50.5900
"Saint Barthelemy",10994,5507,50.0900
Georgia,3744385,1855289,49.5500
Lithuania,2750058,1360628,49.4800
Netherlands,17564020,8633235,49.1500
Seychelles,107135,51220,47.8100
"New Zealand",5185289,2464757,47.5300
Bahrain,1472237,696614,47.3200
Monaco,36491,17181,47.0800
Germany,83369840,38437756,46.1100
Estonia,1326064,609520,45.9600
"Cayman Islands",68722,31472,45.8000
Czechia,10493990,4754870,45.3100
Italy,59037472,26693706,45.2100
"Isle of Man",84534,38008,44.9600
Australia,26177410,11752647,44.9000
"Bonaire Sint Eustatius and Saba",27052,11922,44.0700
Nauru,12691,5393,42.4900
"Cook Islands",17032,7203,42.2900
Belgium,11655923,4854398,41.6500
Aruba,106459,44224,41.5400
"European Union",450146793,185502351,41.2100
"Saint Helena",5401,2166,40.1000
Montenegro,627082,251280,40.0700
Barbados,281646,110174,39.1200
"Marshall Islands",41593,16138,38.8000
"Saint Martin (French part)",31816,12324,38.7400
"Puerto Rico",3252412,1252713,38.5200
Serbia,6871547,2583470,37.6000
"United Kingdom",67508936,24885790,36.8600
Maldives,523798,186694,35.6400
Palau,18084,6265,34.6400
Ireland,5023108,1731853,34.4800
"High income",1250514600,428103236,34.2300
Europe,744807803,251979910,33.8300
Slovakia,5643455,1876826,33.2600
Oceania,45038860,14713706,32.6700
Croatia,4030361,1309728,32.5000
"French Guiana",304568,98041,32.1900
Montserrat,4413,1403,31.7900
"Wallis and Futuna",11596,3550,30.6100
"United States",338289856,103436829,30.5800
Guam,171783,52287,30.4400
Uruguay,3422796,1041111,30.4200
Mongolia,3398373,1011451,29.7600
Spain,47558632,13980340,29.4000
Bermuda,64207,18860,29.3700
"Northern Mariana Islands",49574,14341,28.9300
Norway,5434324,1505776,27.7100
"New Caledonia",289959,80064,27.6100
Japan,123951696,33803572,27.2700
Chile,19603736,5334773,27.2100
Finland,5540745,1499712,27.0700
Sweden,10549349,2749366,26.0600
Tuvalu,11335,2943,25.9600
"French Polynesia",306292,79254,25.8800
"United States Virgin Islands",99479,25389,25.5200
"Sint Maarten (Dutch part)",44192,11051,25.0100
Mauritius,1299478,323707,24.9100
Anguilla,15877,3904,24.5900
Curacao,191173,45883,24.0000
"Costa Rica",5180836,1230653,23.7500
Panama,4408582,1042688,23.6500
"British Virgin Islands",31332,7392,23.5900
"Micronesia (country)",114178,26547,23.2500
Malta,533293,121283,22.7400
Lebanon,5489744,1239904,22.5900
Hungary,9967304,2229267,22.3700
Argentina,45510324,10081076,22.1500
Dominica,72758,16038,22.0400
Greenland,56494,11971,21.1900
"North America",600323657,124517279,20.7400
Turkey,85341248,17004677,19.9300
Bulgaria,6781955,1327000,19.5700
Moldova,3272993,633184,19.3500
Qatar,2695131,514524,19.0900
"American Samoa",44295,8359,18.8700
Romania,19659270,3517291,17.8900
Belize,405285,71373,17.6100
Brazil,215313504,37519960,17.4300
"Saint Lucia",179872,30209,16.7900
"North Macedonia",2093606,350244,16.7300
Poland,39857144,6649917,16.6800
Russia,144713312,23773710,16.4300
Armenia,2780472,451426,16.2400
Tonga,106867,16950,15.8600
"South America",436816679,68732332,15.7300
Grenada,125459,19693,15.7000
Kuwait,4268886,666876,15.6200
Malaysia,33938216,5257009,15.4900
Jordan,11285875,1746997,15.4800
Kosovo,1782115,274279,15.3900
"Turks and Caicos Islands",45726,6723,14.7000
Ukraine,39701744,5521032,13.9100
"Saint Kitts and Nevis",47681,6607,13.8600
Palestine,5250076,703228,13.3900
Suriname,618046,82506,13.3500
Peru,34049588,4536733,13.3200
Mayotte,326113,42027,12.8900
Botswana,2630300,330417,12.5600
"Trinidad and Tobago",1531043,191496,12.5100
"Bosnia and Herzegovina",3233530,403558,12.4800
Canada,38454328,4771226,12.4100
Colombia,51874028,6391672,12.3200
Vietnam,98186856,11624000,11.8400
Albania,2842318,334818,11.7800
"United Arab Emirates",9441138,1067030,11.3000
"Cape Verde",593162,64474,10.8700
Paraguay,6780745,736275,10.8600
Belarus,9534956,994037,10.4300
Cuba,11212198,1115043,9.9400
Bolivia,12224114,1211716,9.9100
"Antigua and Barbuda",93772,9106,9.7100
"Upper middle income",2525921300,245222164,9.7100
World,7975105024,774367797,9.7100
Tunisia,12356116,1153361,9.3300
"Saint Vincent and the Grenadines",103959,9674,9.3100
Bahamas,409989,38084,9.2900
Guyana,808727,73663,9.1100
Oman,4576300,399449,8.7300
Iran,88550568,7626022,8.6100
Pitcairn,47,4,8.5100
Azerbaijan,10358078,834371,8.0600
Bhutan,782457,62697,8.0100
Kazakhstan,19397998,1503205,7.7500
Samoa,222390,16962,7.6300
Libya,6812344,507269,7.4500
Fiji,929769,69047,7.4300
Guatemala,17843914,1250308,7.0100
China,1425887360,99326423,6.9700
"South Africa",59893884,4072636,6.8000
Namibia,2567024,172256,6.7100
Thailand,71697024,4764382,6.6500
Asia,4721383370,301284704,6.3800
Eswatini,1201680,75191,6.2600
Mexico,127504120,7702809,6.0400
Ecuador,18001002,1070188,5.9500
"Dominican Republic",11228821,661181,5.8900
Iraq,44496124,2465545,5.5400
Jamaica,2827382,156649,5.5400
Honduras,10432858,472743,4.5300
Tokelau,1893,80,4.2300
Kiribati,131237,5085,3.8700
Vanuatu,326744,12019,3.6800
Philippines,115559008,4173631,3.6100
"Solomon Islands",724272,25954,3.5800
Morocco,37457976,1278666,3.4100
Nepal,30547586,1003450,3.2800
Vatican,808,26,3.2200
"El Salvador",6336393,201835,3.1900
India,1417173120,45023751,3.1800
"Sri Lanka",21832150,672738,3.0800
"Sao Tome and Principe",227393,6736,2.9600
Laos,7529477,218913,2.9100
"Lower middle income",3432097300,97504880,2.8400
Indonesia,275501344,6826750,2.4800
"Saudi Arabia",36408824,841469,2.3100
Gabon,2388997,49051,2.0500
Venezuela,28301700,552695,1.9500
Timor,1341298,23460,1.7500
Zambia,20017670,349304,1.7400
Zimbabwe,16320539,266257,1.6300
Lesotho,2305826,36135,1.5700
Djibouti,1120851,15690,1.4000
Mauritania,4736146,63808,1.3500
Kyrgyzstan,6630621,88953,1.3400
